NAME, QUERY, NDCG, ALPHA-NDCG, TREC, AWRF
BM25, 41, 0.6717360951053473, 0.7560785896022766, 0.36605843625254436, 0.5449438238020186
MMR, 41, 0.6094698757865618, 0.8363063991380103, 0.5648970397199348, 0.9268662195828749
CL, 41, 0.6761434534614814, 0.8946542094976137, nan, nan
FR, 41, 0.4637030309277851, 0.8057139900858458, 0.3333836726318447, 0.8097881383286596
BM25, 42, 0.7203260860415187, 0.8509443054368135, 0.5456990037434161, 0.7575721805970562
MMR, 42, 0.6651391140152735, 0.9069812107699285, 0.5755414510369147, 0.8652948517228513
CL, 42, 0.6697660927625465, 0.9282214651990105, 0.5077675919467762, 0.7581267511653447
FR, 42, 0.6691419167178252, 0.8502614448717102, 0.3333836726318447, 0.879226724560705
BM25, 43, 1.0, 0.783847675374076, 0.47079723034495335, 0.47079723034495335
MMR, 43, 1.0, 0.9450341107296902, 0.7348161417960218, 0.7348161417960218
CL, 43, 1.0, 0.9192837053865534, 0.535648052569782, 0.535648052569782
FR, 43, 0.9763968302318771, 0.7980102572564844, 0.3333836726318447, 0.6677237280868964
