"(0, 0.018830722)","(1, 0.19173244)","(3, 0.2052696)","(4, 0.047000475)","(5, 0.019648684)","(6, 0.05522597)","(7, 0.09203022)","(8, 0.015157528)","(9, 0.34951228)"
"(0, 0.13305815)","(1, 0.055365622)","(2, 0.3280462)","(3, 0.057541754)","(4, 0.014624263)","(5, 0.20871906)","(6, 0.14162679)","(7, 0.033371955)","(8, 0.020251006)"
"(1, 0.044163004)","(2, 0.12492102)","(4, 0.1960092)","(5, 0.1020673)","(6, 0.19361778)","(7, 0.10517116)","(8, 0.12683526)","(9, 0.09270276)"
"(0, 0.048966628)","(2, 0.20886756)","(3, 0.06386886)","(4, 0.13619518)","(5, 0.06335963)","(6, 0.12002778)","(7, 0.11264518)","(8, 0.09068806)","(9, 0.15002564)"
"(3, 0.124940366)","(4, 0.030323358)","(6, 0.5212832)","(7, 0.23559701)","(9, 0.061146468)"
"(0, 0.048485983)","(2, 0.07384925)","(5, 0.017242126)","(7, 0.20041533)","(8, 0.21314135)","(9, 0.4286602)"
"(0, 0.11967268)","(1, 0.28787175)","(2, 0.29229796)","(3, 0.018748514)","(4, 0.1516436)","(8, 0.06214965)","(9, 0.047118027)"
"(0, 0.012299083)","(1, 0.0953316)","(2, 0.10357661)","(3, 0.18843623)","(4, 0.2347955)","(5, 0.07712786)","(6, 0.24073797)","(7, 0.012364762)","(8, 0.012348294)","(9, 0.022982072)"
"(0, 0.06792873)","(1, 0.030850453)","(2, 0.011973689)","(4, 0.17104876)","(6, 0.052793056)","(7, 0.059905395)","(8, 0.47762707)","(9, 0.1148424)"
"(0, 0.026971105)","(1, 0.04014584)","(2, 0.10417103)","(4, 0.29023683)","(6, 0.3013983)","(7, 0.085812494)","(8, 0.13299038)"
"(0, 0.16220793)","(1, 0.12039503)","(2, 0.22508855)","(3, 0.07393812)","(4, 0.017789071)","(5, 0.14474203)","(6, 0.055061582)","(7, 0.17123754)","(8, 0.015658734)","(9, 0.013881433)"
"(0, 0.03696462)","(1, 0.09718455)","(2, 0.15515594)","(3, 0.105352424)","(4, 0.077327766)","(5, 0.020973708)","(6, 0.15689136)","(7, 0.07812477)","(8, 0.16194923)","(9, 0.11007559)"
"(0, 0.085656315)","(1, 0.07354336)","(2, 0.29235443)","(3, 0.030817475)","(4, 0.095315024)","(5, 0.093025684)","(6, 0.08677911)","(7, 0.07734322)","(8, 0.050008383)","(9, 0.11515702)"
"(2, 0.24646157)","(4, 0.16492864)","(5, 0.4256559)","(7, 0.07669221)","(8, 0.026914857)","(9, 0.039792504)"
"(0, 0.090989)","(1, 0.15524152)","(2, 0.18127438)","(3, 0.18970318)","(4, 0.10019522)","(5, 0.041517362)","(6, 0.03578528)","(7, 0.19205876)"
"(0, 0.12694405)","(1, 0.110169575)","(2, 0.16522723)","(3, 0.16968533)","(4, 0.023807738)","(6, 0.124650545)","(7, 0.15227614)","(8, 0.06224891)","(9, 0.056685712)"
"(0, 0.09580028)","(1, 0.116811156)","(2, 0.07151997)","(3, 0.103582926)","(4, 0.099464886)","(5, 0.15430175)","(6, 0.0939506)","(7, 0.14964455)","(8, 0.022170944)","(9, 0.092752896)"
"(0, 0.13867897)","(1, 0.2510032)","(3, 0.06653913)","(4, 0.042374756)","(5, 0.3497301)","(6, 0.028182182)","(7, 0.046227537)","(8, 0.027664075)","(9, 0.045789357)"
"(0, 0.036016285)","(1, 0.08815221)","(2, 0.13302456)","(3, 0.010220447)","(5, 0.21771343)","(6, 0.18102469)","(7, 0.3024744)","(8, 0.01695249)"
"(0, 0.022144606)","(1, 0.1441401)","(2, 0.011592047)","(3, 0.012454733)","(4, 0.17155646)","(5, 0.21823911)","(7, 0.13338383)","(8, 0.016848763)","(9, 0.26175013)"
"(0, 0.02547675)","(1, 0.13532439)","(2, 0.1367816)","(3, 0.017834984)","(4, 0.17434321)","(5, 0.16212548)","(6, 0.054406177)","(7, 0.124664776)","(8, 0.1165477)","(9, 0.05249488)"
"(0, 0.075785264)","(1, 0.01002963)","(2, 0.2949795)","(5, 0.18321049)","(6, 0.011108906)","(7, 0.29429427)","(8, 0.06521485)","(9, 0.056122184)"
"(0, 0.036100384)","(2, 0.40723506)","(3, 0.07452079)","(4, 0.10626574)","(5, 0.028582046)","(6, 0.12553208)","(7, 0.06423678)","(9, 0.14266443)"
"(0, 0.18353012)","(1, 0.118364446)","(2, 0.0524587)","(3, 0.13636874)","(5, 0.03618229)","(6, 0.13366722)","(8, 0.2324894)","(9, 0.0968943)"
"(0, 0.118250184)","(1, 0.052275196)","(2, 0.18799613)","(4, 0.15854776)","(5, 0.18896784)","(6, 0.11847862)","(7, 0.14658262)","(9, 0.016484426)"
"(0, 0.145251)","(1, 0.09185889)","(3, 0.106382236)","(4, 0.087596975)","(5, 0.04216366)","(6, 0.06941092)","(7, 0.09066365)","(8, 0.3550279)"
"(0, 0.03558336)","(1, 0.20488697)","(2, 0.17698465)","(3, 0.19173852)","(4, 0.020865427)","(5, 0.02303278)","(6, 0.08225565)","(7, 0.09899307)","(8, 0.15697256)"
"(0, 0.08118821)","(1, 0.24584994)","(2, 0.013487976)","(3, 0.054818198)","(4, 0.1626769)","(5, 0.036711376)","(6, 0.034690127)","(7, 0.026051603)","(8, 0.13835889)","(9, 0.20616673)"
"(0, 0.0825029)","(1, 0.19137615)","(2, 0.05636549)","(3, 0.1978744)","(5, 0.050471626)","(6, 0.08075199)","(7, 0.15252651)","(8, 0.15026864)","(9, 0.028851463)"
"(0, 0.15571128)","(2, 0.032609396)","(3, 0.21552077)","(5, 0.17402777)","(6, 0.020947807)","(7, 0.18767701)","(8, 0.14244781)","(9, 0.057255205)"
"(0, 0.12199352)","(1, 0.1520305)","(3, 0.044008322)","(4, 0.32843882)","(6, 0.0811057)","(7, 0.16156872)","(9, 0.093164876)"
"(2, 0.07064733)","(3, 0.0108273)","(4, 0.010475379)","(5, 0.033446953)","(6, 0.54879886)","(7, 0.010362554)","(8, 0.26746574)","(9, 0.03905108)"
"(0, 0.018098423)","(1, 0.026911551)","(2, 0.053811558)","(3, 0.13146608)","(4, 0.07184573)","(5, 0.10817991)","(6, 0.2409007)","(7, 0.15986812)","(8, 0.09150592)","(9, 0.09741199)"
"(0, 0.1365875)","(1, 0.03473441)","(2, 0.13396922)","(3, 0.16245037)","(4, 0.13482492)","(5, 0.011126996)","(8, 0.08163902)","(9, 0.28480414)"
"(0, 0.16296656)","(1, 0.03276599)","(2, 0.08117716)","(3, 0.1670188)","(4, 0.0127774095)","(5, 0.10390295)","(6, 0.13507327)","(7, 0.29307225)"
"(0, 0.011042085)","(1, 0.010521298)","(2, 0.17756689)","(3, 0.12186206)","(6, 0.23481706)","(7, 0.10146293)","(9, 0.32453343)"
"(0, 0.1356499)","(1, 0.10373406)","(2, 0.14922008)","(3, 0.16701138)","(5, 0.01827705)","(6, 0.12355179)","(7, 0.15533514)","(9, 0.13384289)"
"(1, 0.15790987)","(3, 0.10965526)","(4, 0.017863017)","(5, 0.03255032)","(6, 0.18781188)","(7, 0.13847224)","(8, 0.11502949)","(9, 0.2237666)"
"(0, 0.06526217)","(1, 0.10385777)","(2, 0.124012224)","(3, 0.3949022)","(5, 0.02608024)","(6, 0.26087117)"
"(1, 0.30986)","(2, 0.2594208)","(3, 0.12066356)","(4, 0.032054104)","(5, 0.09158288)","(6, 0.08767193)","(7, 0.07407588)"
"(1, 0.012766046)","(2, 0.18067825)","(4, 0.22060157)","(5, 0.32535267)","(6, 0.013442925)","(7, 0.05060227)","(8, 0.06507567)","(9, 0.11640005)"
"(0, 0.02923317)","(1, 0.046795648)","(2, 0.0885069)","(3, 0.14760849)","(4, 0.18626922)","(5, 0.08864137)","(6, 0.21495068)","(7, 0.08545469)","(8, 0.106330454)"
"(0, 0.104171894)","(1, 0.05060472)","(4, 0.16109382)","(6, 0.1881037)","(7, 0.10395279)","(8, 0.27278325)","(9, 0.10342916)"
"(1, 0.15454021)","(2, 0.122680716)","(3, 0.17289256)","(4, 0.12469085)","(6, 0.10409532)","(7, 0.06976021)","(8, 0.22862354)"
"(0, 0.07154439)","(1, 0.22616258)","(2, 0.11413044)","(3, 0.04484261)","(4, 0.12897485)","(5, 0.047401376)","(6, 0.27745873)","(7, 0.015469922)","(9, 0.065209456)"
