"(0, 0.01251438)","(9, 0.031017883)","(11, 0.16714054)","(17, 0.030094128)","(19, 0.056684785)","(22, 0.13873222)","(25, 0.116975494)","(27, 0.020701323)","(30, 0.11037087)","(37, 0.017398225)","(38, 0.19509938)"
"(1, 0.015709145)","(2, 0.1902603)","(5, 0.039157618)","(10, 0.08441349)","(13, 0.04142434)","(15, 0.05203332)","(19, 0.030969128)","(20, 0.13819079)","(22, 0.0383368)","(24, 0.03529462)","(30, 0.02453225)","(31, 0.057419263)","(33, 0.04167657)","(34, 0.08879757)","(37, 0.01256426)","(39, 0.012698551)"
"(2, 0.074169114)","(8, 0.04163576)","(10, 0.04214525)","(12, 0.096754864)","(16, 0.031184798)","(22, 0.05847496)","(23, 0.057445526)","(27, 0.19237256)","(28, 0.08035727)","(30, 0.028243797)","(31, 0.09967121)","(32, 0.025290603)","(35, 0.019009339)","(36, 0.012441059)","(39, 0.07607915)"
"(2, 0.08652637)","(4, 0.020834232)","(6, 0.045888558)","(9, 0.042683683)","(11, 0.061847165)","(19, 0.055696126)","(21, 0.12390052)","(27, 0.042450685)","(30, 0.21001768)","(32, 0.060998872)","(36, 0.093398266)","(39, 0.07940707)"
"(10, 0.028503625)","(21, 0.40840498)","(24, 0.015535457)","(28, 0.17662244)","(29, 0.023977479)","(33, 0.051564585)","(34, 0.04917696)","(35, 0.16414535)"
"(7, 0.01678607)","(8, 0.02048102)","(15, 0.1741335)","(17, 0.0625741)","(20, 0.2682927)","(22, 0.08292705)","(23, 0.103821464)","(29, 0.094743736)","(30, 0.07506326)","(33, 0.018456284)"
"(0, 0.05862804)","(1, 0.21861607)","(2, 0.16209331)","(4, 0.093314216)","(8, 0.026150048)","(9, 0.090012215)","(15, 0.05280851)","(17, 0.010553346)","(21, 0.11908904)","(23, 0.019730968)","(28, 0.033526663)","(33, 0.02067812)"
"(1, 0.026324611)","(2, 0.116075665)","(3, 0.06340133)","(4, 0.012262249)","(10, 0.045065563)","(15, 0.057767197)","(16, 0.20864397)","(18, 0.04729549)","(20, 0.056626085)","(26, 0.043091357)","(31, 0.11467188)","(38, 0.038516127)"
"(4, 0.027454298)","(8, 0.3717265)","(11, 0.015962373)","(13, 0.10350003)","(20, 0.0135772275)","(21, 0.01640695)","(24, 0.10179089)","(27, 0.031911176)","(36, 0.037346758)","(39, 0.17956969)"
"(1, 0.039695147)","(2, 0.017029483)","(4, 0.19973247)","(6, 0.08270653)","(8, 0.05273952)","(13, 0.03387182)","(19, 0.071551085)","(21, 0.010960865)","(24, 0.12284604)","(31, 0.052972943)","(38, 0.063334666)","(39, 0.16518617)"
"(1, 0.07098172)","(2, 0.024299063)","(5, 0.026522584)","(7, 0.022577154)","(10, 0.14455146)","(11, 0.1488509)","(14, 0.04766845)","(20, 0.035751164)","(21, 0.060317)","(25, 0.07380458)","(26, 0.025265979)","(30, 0.08357414)","(33, 0.07486109)","(34, 0.018692147)","(35, 0.015993426)","(38, 0.016743418)","(39, 0.015179334)"
"(1, 0.05884702)","(4, 0.022058267)","(6, 0.04860286)","(7, 0.041981984)","(11, 0.07508269)","(13, 0.026161388)","(14, 0.127594)","(15, 0.087808095)","(17, 0.010984767)","(18, 0.025563436)","(21, 0.015167877)","(22, 0.07538626)","(24, 0.032165546)","(26, 0.10594804)","(29, 0.08955666)","(34, 0.0420229)","(38, 0.042214867)","(39, 0.013300652)"
"(1, 0.053654853)","(2, 0.0987913)","(7, 0.012827569)","(9, 0.024298258)","(11, 0.027731186)","(12, 0.048360813)","(13, 0.13975734)","(14, 0.029264804)","(15, 0.022708092)","(16, 0.02667835)","(20, 0.05201754)","(23, 0.011940857)","(25, 0.022062559)","(29, 0.06960576)","(31, 0.068714805)","(32, 0.018415539)","(33, 0.049364984)","(34, 0.016282223)","(35, 0.03930226)","(36, 0.047983147)","(39, 0.039740626)"
"(2, 0.08790817)","(4, 0.08189961)","(5, 0.18800767)","(13, 0.06991845)","(20, 0.012079448)","(23, 0.062088646)","(25, 0.019431528)","(29, 0.011388384)","(30, 0.112998866)","(33, 0.011536154)","(36, 0.09447158)","(37, 0.17974322)"
"(0, 0.019130375)","(1, 0.056720775)","(2, 0.024443401)","(3, 0.019024748)","(4, 0.02359149)","(7, 0.051382612)","(11, 0.022609696)","(13, 0.053944048)","(14, 0.016128585)","(15, 0.0474632)","(16, 0.08920091)","(25, 0.0811551)","(26, 0.124919236)","(27, 0.06884458)","(28, 0.030538108)","(33, 0.087681904)","(34, 0.06356181)","(37, 0.05521582)"
"(0, 0.027439745)","(1, 0.016348414)","(2, 0.08142018)","(3, 0.053997453)","(7, 0.050828684)","(8, 0.035092667)","(9, 0.016722107)","(10, 0.017424693)","(13, 0.061687812)","(14, 0.010782063)","(16, 0.014935532)","(18, 0.016625175)","(19, 0.09028215)","(24, 0.05625277)","(26, 0.022733578)","(27, 0.011745641)","(29, 0.16154495)","(30, 0.04265876)","(35, 0.058371577)","(36, 0.014104694)","(37, 0.08855099)"
"(1, 0.023395304)","(3, 0.019395404)","(7, 0.0140336035)","(9, 0.044361006)","(10, 0.022879707)","(14, 0.084414795)","(18, 0.05102671)","(19, 0.046682004)","(20, 0.18747577)","(24, 0.014694735)","(26, 0.11685076)","(27, 0.014912989)","(28, 0.10861264)","(29, 0.02784659)","(30, 0.03333842)","(33, 0.027160516)","(35, 0.07732929)"
"(7, 0.01152577)","(10, 0.01219971)","(12, 0.020522589)","(14, 0.019189868)","(21, 0.025561962)","(22, 0.03348606)","(23, 0.10077743)","(26, 0.26675513)","(28, 0.08989872)","(30, 0.05375691)","(32, 0.2416442)","(38, 0.053691432)"
"(5, 0.0100721475)","(6, 0.065851904)","(7, 0.14626119)","(8, 0.033194695)","(13, 0.117622204)","(18, 0.012990693)","(19, 0.027075337)","(27, 0.043901443)","(28, 0.02315606)","(29, 0.03200642)","(30, 0.15404935)","(34, 0.08639862)","(36, 0.026102938)","(37, 0.11628802)"
"(1, 0.0153922085)","(4, 0.031178065)","(9, 0.038302235)","(10, 0.15341234)","(11, 0.012404578)","(12, 0.35717425)","(15, 0.01955298)","(19, 0.014023895)","(25, 0.01582426)","(32, 0.016381718)","(34, 0.02547268)","(36, 0.1816624)","(37, 0.014094085)"
"(2, 0.035505183)","(4, 0.022915568)","(5, 0.034260515)","(7, 0.050201748)","(8, 0.043341536)","(11, 0.029242544)","(16, 0.029373495)","(23, 0.11611959)","(25, 0.027730506)","(28, 0.04721741)","(29, 0.02715832)","(30, 0.02974112)","(34, 0.071093135)","(35, 0.044452913)","(36, 0.010829323)","(38, 0.13498493)","(39, 0.16640641)"
"(2, 0.05086805)","(7, 0.17998877)","(10, 0.028179843)","(12, 0.0611041)","(17, 0.106372125)","(19, 0.013011668)","(22, 0.035650205)","(24, 0.31914604)","(25, 0.13120656)"
"(2, 0.07439582)","(3, 0.027750676)","(4, 0.013543092)","(6, 0.039015464)","(12, 0.1655787)","(14, 0.18075584)","(18, 0.024057603)","(19, 0.035040893)","(20, 0.010337513)","(21, 0.02694742)","(22, 0.12319317)","(24, 0.07122272)","(26, 0.038190894)","(29, 0.034549944)","(30, 0.0119161885)","(32, 0.022820054)","(34, 0.014689211)"
"(0, 0.0694242)","(1, 0.029693441)","(3, 0.026704561)","(8, 0.058063664)","(9, 0.050922588)","(11, 0.20166954)","(17, 0.011923099)","(19, 0.10596972)","(24, 0.028833162)","(25, 0.046241973)","(27, 0.060502682)","(28, 0.038444333)","(33, 0.039118044)","(36, 0.028245242)","(39, 0.1253249)"
"(0, 0.042389143)","(1, 0.025667632)","(2, 0.058009867)","(4, 0.057886757)","(7, 0.049349654)","(16, 0.050283015)","(20, 0.2823492)","(22, 0.054644395)","(25, 0.045507684)","(26, 0.020868342)","(27, 0.03352783)","(28, 0.035963118)","(33, 0.053104963)","(38, 0.014893157)","(39, 0.09042843)"
"(0, 0.04013542)","(3, 0.020121124)","(8, 0.020848539)","(12, 0.06788304)","(13, 0.08843261)","(14, 0.23457378)","(18, 0.010541404)","(19, 0.09948081)","(20, 0.016744802)","(23, 0.038048334)","(27, 0.024673527)","(28, 0.06170585)","(29, 0.012504197)","(30, 0.03359657)","(32, 0.09190657)","(38, 0.061487105)"
"(1, 0.12408367)","(3, 0.03146506)","(14, 0.035049424)","(15, 0.08109027)","(26, 0.12936771)","(27, 0.030410213)","(28, 0.03362613)","(31, 0.10544389)","(33, 0.019007416)","(34, 0.16240092)","(36, 0.011485602)","(38, 0.03455088)","(39, 0.11863991)"
"(0, 0.03279115)","(1, 0.18706995)","(6, 0.03935203)","(7, 0.017053004)","(8, 0.04733171)","(9, 0.036450952)","(10, 0.022231141)","(11, 0.021687321)","(12, 0.015955912)","(14, 0.06123359)","(15, 0.012688537)","(17, 0.12684543)","(19, 0.04997306)","(25, 0.014117683)","(27, 0.024782658)","(30, 0.012454816)","(34, 0.07960847)","(37, 0.017628383)","(39, 0.08273463)"
"(1, 0.01176108)","(3, 0.021782577)","(7, 0.08272795)","(8, 0.048159238)","(11, 0.036823343)","(13, 0.033730637)","(15, 0.037083037)","(16, 0.067613326)","(19, 0.011932017)","(21, 0.096412875)","(23, 0.07722395)","(24, 0.030412447)","(25, 0.105273254)","(27, 0.03551825)","(28, 0.021718618)","(29, 0.018760888)","(30, 0.06492708)","(34, 0.02299504)","(35, 0.012319388)","(36, 0.029146805)","(39, 0.062281955)"
"(1, 0.11274045)","(3, 0.119080715)","(5, 0.14400598)","(6, 0.014260188)","(10, 0.039615396)","(11, 0.020737352)","(12, 0.035919413)","(14, 0.08314703)","(15, 0.041635536)","(19, 0.026911732)","(25, 0.032437477)","(27, 0.05779668)","(37, 0.100780085)","(38, 0.096519545)"
