"(0, 0.078993216)","(1, 0.035189226)","(2, 0.035221692)","(3, 0.04377802)","(4, 0.046778977)","(5, 0.07664886)","(6, 0.035203706)","(7, 0.04851577)","(8, 0.035224527)","(9, 0.041824423)","(10, 0.054689325)","(11, 0.035190433)","(12, 0.03522678)","(13, 0.035213135)","(14, 0.045568712)","(15, 0.12526283)","(16, 0.060574133)","(17, 0.03520974)","(18, 0.035176378)","(19, 0.060510106)"
"(0, 0.04981215)","(1, 0.051251423)","(2, 0.04691022)","(3, 0.036218103)","(4, 0.035664115)","(5, 0.04189132)","(6, 0.0416569)","(7, 0.03577488)","(8, 0.035506252)","(9, 0.034784578)","(10, 0.050573967)","(11, 0.09833861)","(12, 0.043613594)","(13, 0.053229067)","(14, 0.041724242)","(15, 0.09560118)","(16, 0.034764744)","(17, 0.10303664)","(18, 0.03490616)","(19, 0.034741897)"
"(0, 0.034032427)","(1, 0.13332057)","(2, 0.034738574)","(3, 0.034848943)","(4, 0.034138016)","(5, 0.03410664)","(6, 0.03485758)","(7, 0.05798744)","(8, 0.05860517)","(9, 0.033984125)","(10, 0.08555616)","(11, 0.034101766)","(12, 0.106012516)","(13, 0.05584827)","(14, 0.034150027)","(15, 0.05323417)","(16, 0.034109052)","(17, 0.034860574)","(18, 0.034101322)","(19, 0.03740661)"
"(0, 0.043923095)","(1, 0.036144473)","(2, 0.055875856)","(3, 0.10813802)","(4, 0.06298166)","(5, 0.036153734)","(6, 0.03675406)","(7, 0.036152497)","(8, 0.036129396)","(9, 0.036896016)","(10, 0.053290434)","(11, 0.036163025)","(12, 0.06307404)","(13, 0.04390352)","(14, 0.03925745)","(15, 0.036146753)","(16, 0.06133691)","(17, 0.06317939)","(18, 0.077408284)","(19, 0.03709142)"
"(0, 0.036124133)","(1, 0.1738063)","(2, 0.040853858)","(3, 0.034077298)","(4, 0.035268903)","(5, 0.07795651)","(6, 0.034743108)","(7, 0.034169618)","(8, 0.053536963)","(9, 0.06019225)","(10, 0.07062963)","(11, 0.035436146)","(12, 0.03560476)","(13, 0.03510648)","(14, 0.043963023)","(15, 0.033964682)","(16, 0.03452693)","(17, 0.05275546)","(18, 0.03452292)","(19, 0.04276106)"
"(0, 0.033981785)","(1, 0.040459827)","(2, 0.05604241)","(3, 0.03549278)","(4, 0.03473716)","(5, 0.0338585)","(6, 0.033890005)","(7, 0.03526319)","(8, 0.07782284)","(9, 0.13728127)","(10, 0.035403624)","(11, 0.033930566)","(12, 0.03450163)","(13, 0.034737177)","(14, 0.051058926)","(15, 0.047299266)","(16, 0.05802639)","(17, 0.11824806)","(18, 0.03398115)","(19, 0.033983424)"
"(0, 0.03666865)","(1, 0.036684565)","(2, 0.0511401)","(3, 0.037352208)","(4, 0.036669005)","(5, 0.037359796)","(6, 0.036671244)","(7, 0.0726666)","(8, 0.051209684)","(9, 0.085379176)","(10, 0.051607832)","(11, 0.037602093)","(12, 0.03888326)","(13, 0.0892752)","(14, 0.037462547)","(15, 0.06118507)","(16, 0.05543033)","(17, 0.044351596)","(18, 0.04453202)","(19, 0.057869025)"
"(0, 0.05339372)","(1, 0.03744525)","(2, 0.03757199)","(3, 0.036834758)","(4, 0.044710487)","(5, 0.03685323)","(6, 0.03750995)","(7, 0.045971718)","(8, 0.060543284)","(9, 0.045834396)","(10, 0.0461169)","(11, 0.03681159)","(12, 0.04627112)","(13, 0.08148003)","(14, 0.0643775)","(15, 0.03933266)","(16, 0.053859748)","(17, 0.043811038)","(18, 0.046111036)","(19, 0.105159625)"
"(0, 0.03818993)","(1, 0.039144482)","(2, 0.05436241)","(3, 0.11724344)","(4, 0.05319303)","(5, 0.03816811)","(6, 0.06353036)","(7, 0.03829062)","(8, 0.0381696)","(9, 0.057493314)","(10, 0.038267378)","(11, 0.038274266)","(12, 0.06052636)","(13, 0.053348318)","(14, 0.04551342)","(15, 0.038185555)","(16, 0.039110806)","(17, 0.06479923)","(18, 0.046029765)","(19, 0.038159594)"
"(0, 0.059704836)","(1, 0.03770752)","(2, 0.04492478)","(3, 0.058006354)","(4, 0.05540355)","(5, 0.051741544)","(6, 0.045620613)","(7, 0.03705737)","(8, 0.037058298)","(9, 0.037076116)","(10, 0.057994403)","(11, 0.048836287)","(12, 0.03707194)","(13, 0.06330321)","(14, 0.056839608)","(15, 0.0804055)","(16, 0.041651003)","(17, 0.05355968)","(18, 0.04735088)","(19, 0.048686486)"
"(0, 0.06327049)","(1, 0.07242354)","(2, 0.092946835)","(3, 0.035474084)","(4, 0.04944476)","(5, 0.052578688)","(6, 0.04166728)","(7, 0.041335184)","(8, 0.043486148)","(9, 0.07524471)","(10, 0.051578615)","(11, 0.04773224)","(12, 0.03522495)","(13, 0.037831556)","(14, 0.037237987)","(15, 0.0353187)","(16, 0.041775372)","(17, 0.07211387)","(18, 0.038117327)","(19, 0.035197712)"
"(0, 0.051483832)","(1, 0.037708182)","(2, 0.056683592)","(3, 0.037563078)","(4, 0.049002964)","(5, 0.04718716)","(6, 0.07007006)","(7, 0.060837716)","(8, 0.036828272)","(9, 0.036792442)","(10, 0.036874842)","(11, 0.052713756)","(12, 0.037634812)","(13, 0.052577708)","(14, 0.03738985)","(15, 0.07886048)","(16, 0.036885127)","(17, 0.04364193)","(18, 0.03689635)","(19, 0.102367826)"
"(0, 0.033768885)","(1, 0.04241696)","(2, 0.117585294)","(3, 0.03375981)","(4, 0.039506126)","(5, 0.03378018)","(6, 0.033803403)","(7, 0.051341202)","(8, 0.05069195)","(9, 0.03375547)","(10, 0.03379102)","(11, 0.07753363)","(12, 0.086942516)","(13, 0.035232183)","(14, 0.03504117)","(15, 0.034547314)","(16, 0.03379196)","(17, 0.03454246)","(18, 0.12440163)","(19, 0.03376681)"
