19,9,22,25,30,22,30,11,27,22,22,11,11,25,30,27,30,25,30,22,11,9,27,19,11,19,19,22,22,30,22,22,11,25,25,22,25,25,25,22,38,30,27,19,11,25,25,37,37,22,30,25,22,22,22,27,25,22,25,38,11,25,9,25,22,11,27,19,11,11,25,38,30,11,11,25,27,27,22,22,27,25,11,27,22,11,25,22,25,22,22,22,27,11,11,27,25,22,22,25,9,25,25,38,38,38,25,25,30,25,22,25,22,22,19,11,25,38,11,25,38,19,22,11,25,25,11,30,25,25,25,22,11,25,22,11,30,11,25,25,38,25,38,30,25,11,11,22,38,11,27,11,22,22,22,38,11,11,30,22,25,9,25,27,25,22,0,25,25,25,9,9,11,30,30,19,25,37,30,30,11,25,22,9,30,22,25,22,25,11,11,25,19,11,25,22,22,22,11,22,25,9,25,30,11,38,25,22,25,22,19,38,19,11,30,25,38,25,19,38,22,11,38,22,11,25,22,22,25,30,22,22,27,25,25,25,25,27,11,38,25,25,25,11,25,38,25,22,25,25,22,38,11,22,17,11,25,22,19,0,22,25,22,11,22,11,25,25,22,11,11,38,25,22,22,22,38,11,11,11,25,38,11,25,11,11,25,22,22,25,25,11,11,22,25,11,11,30,25,11,38,22,9,25,30,27,38,38,25,11,19,25,11,30,38,25,19,30,22,27,25,25,22,25,11,19,30,22,25,11,11,19,25,25,22,19,11,30,22,38,11,19,11,22,25,38,25,25,22,22,22,38,30,19,11,11,25,11,11,38,25,25,11,11,22,25,22,30,27,25,22,38,25,11,25,25,22,25,30,38,11,17,22,25,38,30,11,11,25,38,11,25,11,11,19,22,22,22,22,25,19,25,11,11,11,25,25,30,30,11,11,11,27,25,11,11,22,19,11,11,30,37,22,27,25,25,11,22,38,30,9,25,22,38,27,25,22,38,11,25,38,25,30,38,38,11,38,11,11,11,25,27,30,27,27,25,30,22,27,25,22,22,25,11,9,11,25,22,11,38,19,22,11,27,11,22,9,25,11,11,38,25,22,25,11,22,22,11,22,11,22,17,30,30,25,25,11,30,38,25
2,15,10,2,15,20,2,2,24,10,15,31,15,10,20,20,2,10,19,20,24,15,19,2,5,10,34,5,5,19,30,2,20,22,10,24,10,2,37,22,10,31,15,2,2,10,20,2,20,2,2,2,20,31,15,20,2,10,2,38,5,19,2,10,31,10,10,2,5,13,10,2,5,1,31,15,34,2,2,33,19,2,33,34,15,10,10,10,1,2,31,15,22,22,31,24,34,34,34,34,30,34,31,34,34,19,20,2,2,10,1,10,2,31,10,31,31,2,34,5,13,34,2,5,19,2,19,31,5,31,22,33,34,31,2,10,5,10,2,19,10,5,38,31,10,2,10,13,2,15,34,24,5,34,2,10,5,13,20,34,30,13,22,2,20,34,2,22,2,20,5,10,33,5,20,34,2,2,13,20,20,2,2,2,22,10,34,2,31,20,31,34,5,2,38,2,2,22,34,33,2,2,10,2,33,5,13,33,2,2,10,10,2,15,22,2,2,5,2,20,5,2,10,20,2,10,2,2,24,34,34,15,2,33,20,5,5,2,34,24,20,2,20,2,10,34,2,2,31,5,2,34,2,10,2,2,10,10,5,2,20,31,2,2,2,2,34,34,2,20,2,2,2,31,19,2,33,37,20,15,2,13,2,2,10,13,20,20,2,33,15,10,2,19,10,5,13,2,37,10,2,10,33,31,2,2,2,19,10,13,2,2,34,2,34,2,33,19,10,13,19,34,34,33,5,2,10,2,31,2,2,2,2,20,34,30,5,31,33,10,34,19,2,34,10,2,13,2,34,20,2,31,2,20,13,5,34,2,5,15,33,10,20,34,34,33,19,2,13,19,2,31,13,10,13,24,10,33,20,34,2,2,20,2,2,34,24,2,20,5,2,10,5,10,5,2,2,10,19,10,34,1,10,5,13,5,34,19,10,15,20,10,10,10,2,10,20,20,20,15,2,2,2,34,2,30,2,20,13,15,22,33,20,5,20,5,2,31,13,5,2,13,22,10,2,34,10,38,10,34,13,33,20,13,2,20,10,10,31,19,2,22,2,22,2,2,2,2,13,13,34,10,20,5,10,13,34,15,2,33,13,2,5,20,15,2,10,20,10,20,34,5,2,20,2,2,33,13,5,2
27,28,2,35,28,39,31,39,39,39,39,22,28,39,22,27,32,39,39,39,27,31,16,22,10,35,39,30,27,27,39,10,27,27,39,30,16,39,39,35,39,23,35,32,16,39,23,12,27,2,32,39,31,35,10,22,32,10,12,27,31,10,12,10,32,39,16,36,39,39,32,27,23,10,27,23,10,22,31,31,27,27,16,39,31,22,27,39,27,31,10,31,27,28,39,12,23,16,31,39,23,31,28,31,8,32,27,39,10,36,2,31,31,27,2,30,12,23,35,39,27,27,28,31,22,22,10,27,12,8,31,23,31,31,31,22,28,10,12,2,27,32,31,39,23,31,10,31,39,16,23,31,12,2,8,27,22,22,12,31,27,27,32,31,39,28,31,31,2,31,27,27,23,31,27,31,22,27,31,30,27,10,27,10,31,23,35,31,35,27,28,31,31,39,27,31,31,32,23,39,31,22,31,30,39,31,27,28,16,31,31,10,12,31,35,2,31,22,31,12,31,30,23,31,31,27,36,27,28,22,28,39,31,31,31,8,22,27,31,31,27,31,12,22,16,27,31,35,27,10,32,23,31,31,28,2,23,28,39,31,2,12,31,27,31,27,12,31,35,12,39,31,27,31,22,31,39,39,16,27,10,27,28,30,39,32,27,10,2,31,31,31,39,27,31,31,39,10,31,27,31,31,27,27,27,31,27,12,31,39,31,27,12,22,27,12,12,31,27,12,31,31,10,12,2,10,31,2,10,31,28,27,27,35,12,39,27,32,39,22,28,16,22,32,2,27,27,39,12,27,31,27,31,27,32,32,27,27,8,39,12,12,31,27,27,22,27,32,22,27,28,31,39,39,27,28,31,23,32,27,31,31,31,31,31,27,31,12,12,39,31,22,39,12,27,16,27,39,39,31,31,31,31,10,30,2,39,28,12,28,27,12,27,31,28,12,31,30,2,31,31,27,28,12,27,12,22,2,2,12,30,31,31,16,27,10,30,28,27,35,31,30,28,31,31,22,39,31,28,27,22,39,31,22,31,12,28,12,28,23,28,31,28,31,12,39,27,10,12,31,12,39,31,28,12,31,12,23,28,27,27,27,32,10,39,27,31,12,27,27,27,35,27,27,12,32,28,10,2,12
36,21,27,27,11,21,11,30,39,32,6,6,21,39,21,36,36,6,36,21,21,30,32,21,30,39,21,21,21,36,21,2,2,39,39,30,21,19,19,30,36,32,39,21,2,21,27,39,11,30,36,36,30,9,39,36,36,32,6,6,11,21,30,11,27,30,4,19,11,6,30,11,6,11,39,30,36,21,39,21,6,19,30,19,32,6,21,19,36,30,6,30,36,21,30,39,19,21,39,6,39,36,39,2,30,21,30,27,4,30,21,11,39,11,32,21,2,39,30,36,21,36,36,39,39,21,11,30,11,39,39,2,6,39,21,32,32,27,30,21,39,39,19,2,32,30,32,30,39,32,21,21,11,39,30,6,2,30,2,21,27,36,21,36,36,2,27,21,39,36,30,30,30,6,21,27,11,39,36,19,21,21,19,9,36,36,21,21,11,30,9,30,32,6,39,4,21,30,30,30,21,27,27,11,39,39,30,4,11,11,39,11,6,39,21,27,39,21,21,32,6,6,32,21,6,39,6,36,9,2,39,36,21,9,21,2,11,36,21,30,30,21,39,6,2,39,21,32,21,30,36,32,30,39,6,21,30,27,32,11,32,39,21,11,4,39,11,9,30,36,11,11,27,11,11,11,39,27,39,27,32,27,27,39,21,11,30,32,19,2,6,2,11,30,32,11,6,36,6,2,27,19,21,11,30,36,9,21,11,39,39,21,30,39,19,11,4,6,11,21,36,36,32,11,39,9,19,36,36,36,2,32,32,11,11,2,21,21,21,27,39,21,36,36,19,6,9,21,30,36,36,2,6,2,2,39,2,32,11,2,39,30,36,9,27,6,32,32,6,2,39,36,19,39,11,36,30,30,32,36,2,36,11,11,30,30,21,2,30,6,6,6,6,32,27,11,32,32,32,6,39,4,36,21,30,19,27,27,39,11,11,2,21,21,11,21,2,9,21,36,30,27,36,21,36,11,11,30,21,6,36,6,32,2,30,36,36,32,6,11,30,30,32,30,21,21,36,30,36,11,9,11,36,21,30,32,36,36,30,30,39,6,36,36,21,2,4,30,36,27,36,30,2,32,27,30,32,27,6,19,4,2,36,27,36,21,21,11,27,39,39,30,21,11,21,9,27,39,9,2
28,21,21,28,21,33,28,24,28,21,21,35,21,24,34,21,34,21,21,35,24,21,21,21,21,21,33,24,21,21,21,24,28,21,35,28,21,21,34,21,21,21,33,33,24,35,21,21,21,33,33,24,21,33,24,21,21,21,35,35,28,35,24,24,29,21,21,21,24,21,34,21,28,34,28,35,34,33,29,28,28,33,21,21,35,21,21,35,29,35,28,21,21,28,21,21,21,35,33,24,21,28,28,28,21,21,28,28,21,35,35,21,28,33,24,21,21,21,24,21,21,21,21,6,21,21,6,21,33,28,21,35,33,21,21,21,24,21,21,21,21,21,33,21,35,35,33,28,33,34,21,28,21,21,28,34,10,21,28,21,21,21,33,35,29,28,24,21,28,28,28,24,24,21,35,33,28,28,21,21,24,21,28,28,34,33,35,35,24,34,21,28,28,28,28,21,28,21,28,28,24,21,21,33,21,33,21,21,28,21,29,35,21,24,21,21,33,21,21,33,21,28,35,28,35,21,35,21,29,28,33,35,21,10,21,24,21,21,21,10,28,21,35,21,34,24,21,28,21,28,35,33,35,24,21,28,24,35,21,21,21,28,35,29,24,21,33,24,21,21,21,21,21,28,35,21,21,24,21,21,21,35,21,10,24,10,21,21,33,21,28,35,28,21,35,28,24,21,21,21,28,35,21,21,21,35,34,21,21,21,29,28,24,21,21,35,35,35,10,21,34,28,21,24,33,34,35,21,21,35,10,24,21,28,28,33,28,35,33,24,21,33,21,35,24,34,35,21,21,21,21,35,21,21,35,35,21,21,21,21,21,21,35,35,34,34,24,35,21,34,21,35,35,28,24,28,34,21,24,28,21,33,21,28,21,28,35,35,28,21,35,29,24,21,29,24,33,29,21,35,28,35,34,21,28,21,21,10,21,21,24,10,21,28,24,29,28,28,35,34,24,35,33,21,21,21,21,24,33,21,28,33,24,21,21,21,33,35,21,35,21,21,28,24,24,21,35,21,28,34,6,28,21,24,21,21,28,28,33,21,21,21,33,21,33,35,28,28,24,21,10,21,33,21,29,21,28,21,21,21,28,33,21,24,33,21,21,24,21,28,35,24,28,34,33,35,21,28,35,21
29,22,20,22,22,22,15,22,20,22,15,7,29,23,22,15,29,9,29,20,22,20,20,30,33,15,20,15,23,22,22,20,23,30,15,23,30,29,15,29,17,29,30,20,22,30,20,29,22,30,29,22,20,17,15,20,33,15,29,31,8,30,23,29,22,17,20,23,20,23,23,22,15,22,30,23,30,23,20,30,22,23,23,30,23,22,20,15,30,15,20,30,23,20,30,20,23,20,23,30,20,15,22,30,20,23,20,17,23,7,20,29,22,23,20,22,20,20,30,23,20,22,15,15,20,22,15,20,30,23,23,20,20,23,23,29,15,15,30,23,20,29,23,23,20,30,15,29,30,20,23,20,20,20,15,30,17,9,30,22,23,20,23,20,23,22,22,15,7,30,15,30,31,23,30,15,20,17,20,30,23,20,23,30,20,8,15,17,23,22,23,15,23,22,30,22,15,29,20,30,30,22,20,22,20,30,20,20,30,23,23,20,29,20,15,15,8,20,29,20,23,29,15,23,22,20,15,22,15,23,22,20,30,30,17,20,15,23,30,15,20,15,23,20,20,20,30,17,22,29,30,20,20,20,29,23,20,23,22,20,23,9,20,20,33,23,29,20,20,20,29,22,30,20,22,22,8,15,23,20,23,20,15,23,29,20,9,20,23,29,30,29,15,29,30,30,23,9,33,20,20,20,22,22,30,23,15,29,22,23,22,30,30,20,7,20,22,20,17,23,17,20,15,22,23,20,17,20,20,23,22,33,30,17,23,20,15,9,22,29,29,30,22,15,29,29,15,20,29,22,22,23,23,29,23,30,20,29,29,7,29,15,30,29,23,15,15,30,29,20,20,29,15,20,15,17,29,20,15,20,20,20,23,20,33,30,20,20,29,20,23,30,20,17,23,20,20,20,20,29,20,15,20,30,20,30,7,20,15,22,17,20,23,29,30,23,20,15,22,15,20,30,15,23,15,20,8,20,20,29,20,20,20,23,30,20,15,15,20,30,15,15,30,20,20,20,20,23,20,23,20,30,15,8,20,20,30,29,17,15,15,29,29,30,23,23,23,20,29,15,30,23,23,30,20,29,23,20,30,17,30,15,23,9,30,20,20,29,29,15,20,20,22,20,30,23,30,20,30,29
9,9,0,2,1,23,1,9,1,1,21,1,9,9,1,2,9,2,9,2,1,1,2,1,2,9,0,1,2,21,4,1,2,2,0,1,21,1,1,28,21,21,0,1,15,1,4,1,4,2,1,21,1,8,21,21,2,21,21,15,1,21,4,9,23,21,9,21,9,28,9,23,9,1,9,1,15,9,28,1,2,1,2,1,21,28,1,9,28,33,2,2,28,4,9,0,21,15,9,1,2,1,23,8,9,9,28,1,21,9,2,0,1,2,9,21,21,4,28,9,21,1,9,28,21,0,23,9,4,2,2,21,4,1,9,21,15,15,1,2,1,1,1,2,2,21,2,2,15,2,21,9,15,4,2,1,21,21,1,4,0,4,15,9,21,2,21,9,1,4,15,28,1,15,2,1,8,15,15,2,28,8,21,1,9,9,9,2,2,4,9,2,1,9,21,1,9,4,21,1,15,9,9,1,21,2,1,1,21,1,2,1,9,1,1,1,2,2,2,9,1,15,2,9,28,2,21,1,33,1,21,9,1,21,9,9,9,21,1,17,9,2,28,9,21,4,4,2,21,1,21,1,1,9,1,2,2,0,21,2,4,28,1,1,9,2,23,9,9,21,21,0,28,9,1,15,9,8,21,2,9,1,28,4,1,28,21,2,1,9,0,4,9,28,2,2,21,21,4,4,1,2,1,9,0,1,1,2,21,2,1,1,28,9,2,2,2,28,2,4,21,9,9,8,2,2,2,1,2,1,21,8,21,8,2,9,2,21,2,15,4,2,28,2,9,2,21,9,2,21,2,9,1,2,21,2,15,2,4,4,2,4,0,28,21,33,8,9,15,1,2,2,1,2,1,2,1,4,2,1,9,9,0,21,1,4,28,4,21,9,8,1,2,4,21,2,2,23,1,2,0,1,21,17,21,2,4,4,15,9,4,9,2,15,8,1,15,15,2,4,2,1,1,2,8,21,2,0,21,2,28,1,2,1,8,21,15,2,2,1,17,21,0,9,21,8,4,0,21,15,21,1,21,2,0,28,21,1,9,2,15,2,21,9,8,4,1,1,4,2,9,8,2,21,21,17,1,9,8,21,9,2,1,1,9,1,8,1,21,21,4,1,4,21,4,9,1,2,15,1
31,16,31,31,31,10,3,3,3,10,31,3,3,31,3,31,31,31,31,10,31,3,3,31,3,3,31,31,31,3,15,3,10,31,10,16,3,16,31,16,31,31,3,3,3,3,3,3,3,16,16,3,3,10,31,16,15,3,3,16,16,3,3,3,3,3,3,3,15,10,16,31,3,3,16,31,3,3,10,3,3,26,26,16,3,31,10,2,10,3,3,3,10,3,31,26,3,3,3,3,31,10,3,3,3,3,3,3,26,10,31,3,26,31,3,3,3,16,31,3,31,26,31,3,3,3,3,31,3,3,31,15,3,10,31,3,3,26,31,26,3,26,16,15,26,3,3,20,3,16,3,3,31,3,26,3,26,3,31,3,26,26,2,26,26,26,26,3,26,3,3,16,3,3,31,16,26,3,26,16,26,3,10,31,3,26,26,31,2,3,26,26,26,3,16,3,15,16,26,31,31,16,31,3,26,26,31,26,3,26,16,3,31,26,31,2,16,16,2,3,16,26,31,10,26,16,26,16,16,3,31,16,16,26,16,16,16,16,16,3,16,26,2,26,16,16,16,16,26,16,26,16,16,16,16,26,1,16,26,16,16,16,16,10,16,16,16,16,16,16,16,16,3,26,16,16,16,31,16,16,2,16,31,16,10,16,16,16,2,16,16,16,16,1,16,16,16,16,16,16,16,16,16,16,16,2,10,10,2,16,16,16,16,15,16,16,16,16,16,16,16,16,16,2,16,16,16,16,31,16,16,16,31,31,16,16,2,16,2,16,16,16,31,16,16,16,2,31,1,16,16,16,2,2,16,16,16,16,16,16,16,16,16,2,20,16,16,16,16,2,2,2,2,10,16,2,16,2,2,2,2,26,2,2,2,16,1,2,2,2,20,2,2,10,2,16,16,2,2,2,26,16,2,16,2,16,2,10,2,16,2,2,2,2,2,2,20,2,2,2,16,2,2,2,2,2,2,2,2,2,2,16,16,31,2,2,15,2,2,2,16,2,2,2,2,2,10,2,2,2,2,2,2,10,2,2,2,2,2,18,2,2,2,2,2,2,31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,10,2,2,2,2,18,2
39,11,27,24,24,21,39,8,8,11,39,24,39,4,11,11,36,39,36,24,39,24,8,39,11,8,11,8,27,39,11,8,13,27,8,8,39,39,39,39,8,24,8,39,6,39,24,17,8,24,8,8,39,39,8,39,24,13,8,8,4,39,11,39,8,24,13,24,39,8,39,8,8,13,24,24,39,8,24,4,27,39,24,8,39,11,8,13,8,8,24,21,24,39,24,11,36,11,39,39,4,8,8,8,39,24,39,39,8,39,24,24,4,24,24,24,13,11,8,24,8,24,39,8,13,11,8,8,24,39,8,27,8,39,8,39,24,8,8,8,8,39,24,39,39,8,4,39,8,8,24,8,24,13,36,8,24,8,8,39,36,8,24,24,24,24,27,4,8,4,8,8,24,8,4,39,8,8,39,13,8,24,24,8,24,13,13,13,8,24,39,24,8,39,8,24,8,24,8,8,24,24,8,8,39,8,13,8,4,8,13,24,8,39,11,8,8,11,8,8,4,8,13,8,8,39,8,11,24,8,39,13,24,8,24,8,8,39,39,24,8,8,24,39,39,8,24,8,8,24,8,4,8,27,24,24,13,8,8,11,27,39,24,11,39,13,4,39,39,39,11,13,24,8,4,8,8,24,13,39,8,8,13,13,24,8,39,4,24,39,8,8,39,8,8,8,8,39,13,8,24,39,8,27,8,24,24,8,39,27,11,39,24,11,39,8,39,11,8,13,13,36,39,27,39,24,39,39,27,8,24,8,8,21,8,39,8,39,8,8,8,39,13,13,8,39,8,39,24,39,8,24,27,13,4,24,36,8,8,13,13,8,8,8,13,13,39,24,24,13,11,24,39,13,24,13,39,8,39,24,13,8,8,24,8,39,39,39,24,8,8,8,8,8,8,24,24,8,39,8,8,8,24,8,39,8,8,8,8,24,13,24,39,13,13,8,8,13,8,39,4,24,8,39,8,8,24,39,8,24,36,8,4,39,8,24,8,13,24,13,39,8,11,8,39,8,13,8,13,4,8,8,39,13,39,8,8,39,39,13,8,24,39,11,27,8,8,24,39,8,8,13,39,39,39,36,24,13,13,8,24,8,11,8,8,8,24,39,24,8,24,8,8,24,8,24,39,39,8,13
8,19,4,19,4,39,19,38,19,19,4,4,31,4,13,4,38,13,31,4,8,4,4,19,6,19,38,4,19,4,39,19,4,39,4,39,4,24,4,38,19,39,8,39,13,39,6,1,4,4,2,24,24,8,4,4,4,38,8,24,8,4,8,24,39,8,4,8,4,31,1,4,39,4,8,4,4,8,4,4,19,6,24,4,1,24,4,8,24,4,4,18,24,4,24,4,21,24,24,38,24,4,38,39,4,4,4,38,38,19,24,39,4,4,24,38,39,4,24,19,4,4,8,24,24,1,24,18,38,6,4,19,4,4,21,4,8,19,8,4,4,4,4,8,4,24,39,8,6,4,39,24,1,4,24,24,31,24,4,4,39,13,39,4,8,39,38,24,39,39,1,24,31,4,4,4,6,1,1,24,24,24,24,6,24,39,19,39,24,13,4,4,39,24,4,8,4,13,31,31,24,39,6,24,24,39,4,24,19,4,13,21,39,24,31,39,39,31,31,24,24,6,39,39,21,39,39,24,8,8,39,6,8,24,4,4,24,24,39,13,38,4,8,24,19,24,4,39,1,8,8,39,4,4,4,4,39,39,1,4,38,39,39,4,24,39,4,4,4,24,24,39,4,39,24,38,19,24,24,4,24,1,39,39,38,4,13,8,24,13,13,21,39,39,39,4,19,38,4,4,39,19,39,4,38,1,4,39,39,31,4,24,24,39,39,6,6,4,24,39,6,1,39,1,19,24,6,8,24,8,24,1,6,24,21,24,24,8,8,24,39,24,8,6,39,24,6,8,1,39,6,21,4,39,4,8,39,39,4,31,1,24,39,24,39,4,39,39,39,39,24,1,39,24,24,38,8,39,39,8,39,4,24,24,39,24,39,19,39,38,24,1,39,1,1,39,39,8,38,39,24,6,4,6,39,39,24,38,38,1,39,39,13,13,13,1,4,13,8,38,39,24,24,39,24,31,31,39,24,31,6,4,8,39,24,8,38,21,39,6,24,4,39,4,39,39,4,24,31,4,38,13,13,19,39,8,31,39,38,39,4,24,13,24,24,8,24,39,39,6,24,39,39,31,24,31,39,39,8,24,39,39,8,39,39,6,18,24,8,39,31,39,39,31,1,39,4,39,8,38
