"(0, 0.016675051)","(1, 0.016994003)","(2, 0.12876095)","(3, 0.023574874)","(4, 0.015054565)","(5, 0.023811845)","(6, 0.061957344)","(7, 0.01565739)","(8, 0.21187079)","(9, 0.020028472)","(10, 0.023834873)","(11, 0.13992755)","(12, 0.16605134)","(13, 0.11696203)","(14, 0.018838912)"
"(0, 0.015679844)","(1, 0.099639766)","(2, 0.11236547)","(3, 0.09387408)","(4, 0.045908663)","(5, 0.035783235)","(6, 0.12303854)","(7, 0.13407974)","(8, 0.076260574)","(9, 0.14098532)","(10, 0.03547057)","(11, 0.016311252)","(12, 0.01823684)","(13, 0.034605324)","(14, 0.017760783)"
"(0, 0.040553268)","(1, 0.078684464)","(2, 0.013785993)","(3, 0.01483096)","(4, 0.012168897)","(5, 0.06121693)","(6, 0.027929634)","(7, 0.22481605)","(8, 0.01446937)","(9, 0.08097317)","(10, 0.07686901)","(11, 0.0134021565)","(12, 0.01872963)","(13, 0.012157464)","(14, 0.30941305)"
"(0, 0.059099082)","(1, 0.21639389)","(2, 0.034760218)","(3, 0.039946843)","(4, 0.13176462)","(5, 0.04143583)","(6, 0.027662018)","(7, 0.021914547)","(8, 0.20617658)","(9, 0.05395726)","(10, 0.024219623)","(11, 0.027916597)","(12, 0.035379253)","(13, 0.021568308)","(14, 0.05780529)"
"(0, 0.018038442)","(1, 0.07980966)","(2, 0.020484382)","(3, 0.022448616)","(4, 0.014774325)","(5, 0.02187771)","(6, 0.13758181)","(7, 0.014977441)","(8, 0.23611706)","(9, 0.029532392)","(10, 0.032678492)","(11, 0.073804475)","(12, 0.22943585)","(13, 0.01430716)","(14, 0.054132182)"
"(0, 0.10164569)","(1, 0.23282039)","(2, 0.018750886)","(3, 0.07322198)","(4, 0.04465783)","(5, 0.019334767)","(6, 0.041142095)","(7, 0.17216666)","(8, 0.04321778)","(9, 0.016379949)","(10, 0.018754862)","(11, 0.05349649)","(12, 0.015600124)","(13, 0.12571345)","(14, 0.023097085)"
"(0, 0.10720836)","(1, 0.014077375)","(2, 0.060457915)","(3, 0.093874834)","(4, 0.018637177)","(5, 0.037263636)","(6, 0.014339933)","(7, 0.054766316)","(8, 0.05566783)","(9, 0.16062357)","(10, 0.0157777)","(11, 0.2582351)","(12, 0.073220395)","(13, 0.019371917)","(14, 0.01647796)"
"(0, 0.021544322)","(1, 0.016819142)","(2, 0.015370064)","(3, 0.02102032)","(4, 0.0138070565)","(5, 0.014324493)","(6, 0.016672619)","(7, 0.11386874)","(8, 0.01390751)","(9, 0.22782731)","(10, 0.25856692)","(11, 0.041320156)","(12, 0.14886184)","(13, 0.024988161)","(14, 0.051101327)"
"(0, 0.116988316)","(1, 0.034266043)","(2, 0.036882438)","(3, 0.04666659)","(4, 0.033938132)","(5, 0.10492666)","(6, 0.06154985)","(7, 0.025866056)","(8, 0.049060136)","(9, 0.116960466)","(10, 0.17694832)","(11, 0.020118544)","(12, 0.062370032)","(13, 0.026534015)","(14, 0.08692437)"
"(0, 0.038790215)","(1, 0.042667504)","(2, 0.104929864)","(3, 0.0323826)","(4, 0.18756789)","(5, 0.12568772)","(6, 0.15857694)","(7, 0.021725047)","(8, 0.0207252)","(9, 0.06558661)","(10, 0.07471757)","(11, 0.03092659)","(12, 0.025340032)","(13, 0.025008025)","(14, 0.045368254)"
"(0, 0.14489353)","(1, 0.023934284)","(2, 0.07605342)","(3, 0.05105154)","(4, 0.13596548)","(5, 0.030427594)","(6, 0.01939791)","(7, 0.013936197)","(8, 0.09555949)","(9, 0.0900159)","(10, 0.10740139)","(11, 0.01373229)","(12, 0.091836676)","(13, 0.08518085)","(14, 0.020613456)"
"(0, 0.07683401)","(1, 0.1145741)","(2, 0.016676122)","(3, 0.042234305)","(4, 0.014976483)","(5, 0.28505144)","(6, 0.018011056)","(7, 0.12647638)","(8, 0.021617344)","(9, 0.015044045)","(10, 0.16473567)","(11, 0.04203405)","(12, 0.017604029)","(13, 0.017456716)","(14, 0.026674246)"
"(0, 0.017197091)","(1, 0.23598266)","(2, 0.19119546)","(3, 0.18095206)","(4, 0.060669634)","(5, 0.016875455)","(6, 0.015697515)","(7, 0.0366659)","(8, 0.014732965)","(9, 0.102097444)","(10, 0.016317807)","(11, 0.044112764)","(12, 0.015216845)","(13, 0.014125889)","(14, 0.038160518)"
"(0, 0.021605544)","(1, 0.08403539)","(2, 0.22928104)","(3, 0.07056206)","(4, 0.06307476)","(5, 0.02295807)","(6, 0.12438616)","(7, 0.019518549)","(8, 0.020856174)","(9, 0.029159218)","(10, 0.04207318)","(11, 0.022903416)","(12, 0.08040126)","(13, 0.021670429)","(14, 0.14751479)"
"(0, 0.16157413)","(1, 0.10780159)","(2, 0.08049116)","(3, 0.037052736)","(4, 0.025373332)","(5, 0.05263564)","(6, 0.065483585)","(7, 0.020017864)","(8, 0.2978653)","(9, 0.021605065)","(10, 0.03361104)","(11, 0.019489512)","(12, 0.019987093)","(13, 0.032498922)","(14, 0.024513038)"
"(0, 0.06622898)","(1, 0.13083778)","(2, 0.016710844)","(3, 0.3119204)","(4, 0.04701856)","(5, 0.01840345)","(6, 0.037676327)","(7, 0.017313154)","(8, 0.020828942)","(9, 0.03464122)","(10, 0.02170563)","(11, 0.026106302)","(12, 0.05137088)","(13, 0.17599611)","(14, 0.02324144)"
"(0, 0.046741072)","(1, 0.032050714)","(2, 0.017390033)","(3, 0.016355589)","(4, 0.23661204)","(5, 0.04343527)","(6, 0.063194446)","(7, 0.019865135)","(8, 0.01884192)","(9, 0.06007962)","(10, 0.017277082)","(11, 0.02554722)","(12, 0.022220321)","(13, 0.016758347)","(14, 0.36363122)"
"(0, 0.09578501)","(1, 0.03793212)","(2, 0.017941698)","(3, 0.018739598)","(4, 0.2930983)","(5, 0.054466087)","(6, 0.015906753)","(7, 0.015778424)","(8, 0.01354942)","(9, 0.014591477)","(10, 0.016920445)","(11, 0.050210733)","(12, 0.047374144)","(13, 0.013635696)","(14, 0.29407007)"
"(0, 0.02278443)","(1, 0.16480547)","(2, 0.08609619)","(3, 0.12584476)","(4, 0.0747962)","(5, 0.11162634)","(6, 0.026135173)","(7, 0.11484245)","(8, 0.030665312)","(9, 0.067575954)","(10, 0.030684484)","(11, 0.023652706)","(12, 0.025479686)","(13, 0.027676683)","(14, 0.067334175)"
"(0, 0.21198368)","(1, 0.019471921)","(2, 0.10107855)","(3, 0.030659487)","(4, 0.022403445)","(5, 0.09493341)","(6, 0.017930815)","(7, 0.034126353)","(8, 0.2240422)","(9, 0.022786088)","(10, 0.022670811)","(11, 0.09232843)","(12, 0.06633331)","(13, 0.017327836)","(14, 0.021923615)"
"(0, 0.019975012)","(1, 0.066970296)","(2, 0.1735353)","(3, 0.014616698)","(4, 0.016524969)","(5, 0.023056068)","(6, 0.14039621)","(7, 0.14283478)","(8, 0.09250289)","(9, 0.023470925)","(10, 0.016778667)","(11, 0.1923431)","(12, 0.016756345)","(13, 0.013770058)","(14, 0.046468657)"
"(0, 0.01881898)","(1, 0.12401301)","(2, 0.07657596)","(3, 0.20525922)","(4, 0.019230813)","(5, 0.018727023)","(6, 0.11162314)","(7, 0.024399232)","(8, 0.07616144)","(9, 0.12507449)","(10, 0.024529455)","(11, 0.05128639)","(12, 0.059546515)","(13, 0.027921516)","(14, 0.03683284)"
"(0, 0.060239296)","(1, 0.0706524)","(2, 0.0146779455)","(3, 0.056427497)","(4, 0.051269423)","(5, 0.103214875)","(6, 0.015657172)","(7, 0.10582158)","(8, 0.09761861)","(9, 0.04025829)","(10, 0.27359328)","(11, 0.021226851)","(12, 0.02820902)","(13, 0.023843054)","(14, 0.03729073)"
"(0, 0.09239924)","(1, 0.50720984)","(2, 0.013818641)","(3, 0.056892935)","(4, 0.03605188)","(5, 0.060697008)","(6, 0.019012252)","(7, 0.014819709)","(8, 0.012884075)","(9, 0.01549556)","(10, 0.027769009)","(11, 0.09393625)","(12, 0.013462234)","(13, 0.019945955)","(14, 0.015605412)"
"(0, 0.015153397)","(1, 0.016711606)","(2, 0.014002735)","(3, 0.090632655)","(4, 0.054094482)","(5, 0.13136214)","(6, 0.014037305)","(7, 0.017505506)","(8, 0.19378538)","(9, 0.04443881)","(10, 0.06843007)","(11, 0.23598456)","(12, 0.017545488)","(13, 0.019770592)","(14, 0.06654524)"
"(0, 0.028130237)","(1, 0.01922325)","(2, 0.051096924)","(3, 0.024191722)","(4, 0.035335675)","(5, 0.06700452)","(6, 0.16619869)","(7, 0.04819302)","(8, 0.018803217)","(9, 0.021173256)","(10, 0.10385015)","(11, 0.25704196)","(12, 0.026217831)","(13, 0.11008816)","(14, 0.023451375)"
