12,19,16,12,3,13,13,13,14,0,4,14,4,12,4,14,17,6,12,16
3,8,4,16,12,16,16,15,11,16,12,6,12,2,15,12,2,3,11,15
19,15,18,16,10,15,16,15,1,3,15,4,9,12,16,13,15,15,15,15
5,12,7,5,11,12,11,5,15,10,1,5,10,10,19,10,5,10,10,19
7,10,16,13,14,15,13,13,7,14,7,8,7,1,12,8,18,7,14,14
16,13,15,10,8,8,18,8,3,13,7,16,3,8,8,18,8,18,3,4
12,5,6,6,0,14,5,5,5,12,6,17,19,0,5,6,5,14,2,5
5,5,14,5,14,14,14,6,14,14,5,14,14,5,5,14,5,14,5,14
13,18,12,7,3,8,16,5,17,9,16,16,16,13,18,18,14,16,3,7
2,13,14,13,13,18,2,18,6,8,13,9,14,13,18,18,13,2,14,6
5,3,5,18,4,13,0,1,14,13,13,11,13,3,4,0,1,13,12,19
8,5,16,19,17,18,12,12,6,8,5,12,5,5,5,3,12,15,11,5
16,11,17,7,8,12,0,8,16,0,1,11,1,9,8,16,3,10,9,4
6,6,5,3,6,3,3,10,6,6,11,9,3,3,7,18,3,5,7,1
15,15,14,5,5,7,16,0,15,0,0,10,19,19,16,5,4,15,3,5
10,15,1,15,17,10,0,0,17,11,17,15,14,13,12,2,1,15,6,11
10,12,1,13,10,1,10,1,15,8,8,12,7,12,15,1,1,7,10,13
18,17,12,12,0,4,4,16,18,16,10,3,17,2,12,2,18,16,3,13
10,19,17,8,1,2,5,9,1,10,14,1,9,5,1,1,1,17,9,10
2,9,9,17,9,15,9,2,9,9,8,16,17,17,17,17,1,14,8,9
16,19,7,9,9,15,16,7,10,13,13,15,10,2,9,19,19,9,18,8
16,8,16,13,12,19,0,4,19,7,13,14,8,10,18,19,17,9,19,14
3,3,14,4,3,17,12,3,3,9,13,3,17,4,12,9,17,6,18,2
13,15,19,3,6,17,5,15,10,14,2,0,11,14,0,5,18,15,10,4
17,4,9,6,17,0,8,11,9,10,17,16,2,9,11,5,0,1,0,2
15,13,7,19,19,19,19,2,5,15,17,13,11,6,7,11,6,4,0,19
12,2,2,8,8,18,18,2,1,11,12,12,18,7,11,18,2,11,18,2
12,11,16,5,9,11,8,2,1,18,7,3,2,1,6,17,1,12,1,0
18,14,18,18,7,17,17,7,1,17,7,12,3,7,3,14,5,12,7,12
7,19,10,19,16,1,19,1,7,19,2,1,19,4,16,4,17,5,7,19
18,18,18,11,11,11,3,18,18,11,11,18,19,19,11,19,12,3,6,18
3,5,4,10,7,19,11,18,10,16,14,4,10,10,10,10,6,11,16,4
3,1,4,9,1,4,2,2,1,4,12,1,0,18,2,1,2,1,15,2
4,18,14,6,0,8,14,0,14,3,1,14,1,19,10,14,13,12,4,16
18,8,19,9,9,9,19,19,3,3,7,4,16,2,11,0,1,6,14,16
8,0,1,14,2,1,1,13,1,1,1,4,16,19,1,1,1,12,2,0
10,1,13,9,13,10,19,13,15,1,9,1,1,13,1,1,9,19,4,1
5,2,18,2,17,1,2,13,11,2,9,7,13,17,16,1,6,7,8,14
3,7,0,7,17,8,8,16,7,7,16,8,7,7,7,16,0,0,1,7
3,10,12,12,4,6,3,12,18,16,11,2,4,2,0,4,19,19,3,3
13,7,5,7,7,15,1,11,2,13,8,13,14,7,11,14,8,15,13,5
13,18,4,11,9,14,11,12,3,13,13,11,12,13,18,13,11,4,4,4
15,0,19,6,19,9,0,2,6,0,15,2,6,9,0,19,15,8,10,9
6,2,14,6,4,6,4,1,5,6,6,1,2,9,2,6,2,2,13,6
5,17,5,0,5,12,5,7,5,12,5,19,12,13,15,3,13,16,5,5
